edad,sexo,altura,bmi,peso,h_sueno,c_sueno,n_estres,h_movil,t_pantalla,pasos,i_ejercicio,m_ejercicio,alim_enteros,alim_procesados,g_proteina,g_fibra,h_social,h_sol,l_agua,n_alcohol,t_meditacion,bienestar_fisico,bienestar_mental
47,1,1.59,18.6,46.9,6.6,3.9,5.7,5.8,6.4,5273,2,30,8.4,1.3,78.7,37.7,2.9,1.1,4.0,0.0,60.0,82.18,18.89
44,1,1.64,25.1,67.4,8.7,4.0,5.1,5.1,5.6,2555,2,5,9.4,0.5,126.6,42.3,1.2,0.2,1.64,1.4,60.0,100.0,28.89
18,1,1.79,19.3,61.9,7.2,4.0,5.1,2.5,2.8,2000,3,0,6.8,2.6,83.6,30.4,3.0,0.0,2.37,3.5,0.0,42.73,87.78
23,1,1.71,18.7,54.8,9.1,3.9,5.6,5.0,5.5,2946,2,8,3.3,5.3,40.0,14.9,1.4,0.3,1.53,5.4,60.0,78.43,44.44
64,1,1.73,21.1,63.0,7.2,3.8,6.0,7.9,8.7,3061,2,9,5.1,3.9,63.9,22.8,5.2,0.4,2.51,7.3,60.0,99.05,95.56
49,0,1.6,25.9,66.4,8.3,4.0,4.8,4.0,4.4,4992,2,27,6.2,3.0,82.2,27.9,4.1,1.0,2.72,4.3,60.0,72.32,23.33
28,1,1.65,20.3,55.3,7.1,3.9,5.5,3.7,4.1,4322,2,21,7.0,2.4,77.9,31.7,4.7,0.8,2.55,9.7,60.0,56.71,34.44
47,1,1.82,23.4,77.6,7.4,3.9,5.7,5.9,6.5,4779,2,25,5.5,3.6,85.0,24.7,2.9,1.0,2.96,4.0,0.0,39.13,70.0
34,1,1.69,24.7,70.5,8.4,3.8,5.8,7.3,8.0,5198,2,29,6.8,2.5,96.5,30.8,6.7,1.1,3.78,5.4,60.0,75.78,97.78
59,1,1.67,24.4,68.0,9.0,3.8,6.0,6.7,7.4,4938,2,27,5.1,3.9,69.4,22.9,7.0,1.0,3.49,0.0,60.0,74.63,35.56
63,1,1.78,21.6,68.6,8.9,3.8,5.8,2.8,3.1,4582,2,23,9.0,0.8,122.9,40.3,5.2,0.9,3.19,3.0,60.0,100.0,72.22
28,1,1.65,18.4,50.1,7.7,3.8,6.1,2.5,2.8,4845,2,26,9.9,0.1,99.5,44.7,3.4,1.0,1.17,3.2,60.0,100.0,43.33
48,1,1.66,21.0,57.9,7.0,3.7,6.3,2.4,2.6,3963,2,18,10.0,0.0,115.8,45.0,7.0,0.7,1.38,1.1,60.0,74.35,38.89
22,1,1.7,30.8,89.0,7.4,3.9,5.5,6.1,6.7,5264,2,30,8.0,1.6,141.8,35.8,7.9,1.1,3.9,8.4,60.0,87.21,38.89
44,1,1.7,20.4,58.9,7.0,3.9,5.7,6.2,6.8,4878,2,26,10.0,0.0,117.8,45.0,1.7,1.0,3.16,4.6,60.0,63.98,97.78
29,1,1.72,31.8,94.1,7.6,3.9,5.5,5.1,5.6,6291,2,39,6.8,2.5,128.8,30.8,4.3,1.5,2.36,1.4,60.0,82.21,57.78
63,1,1.85,27.8,95.3,8.1,4.0,5.2,4.1,4.5,6392,2,40,7.2,2.3,136.5,32.2,1.0,1.5,3.4,5.6,0.0,26.98,34.44
37,1,1.72,18.0,53.3,7.6,3.0,5.9,6.3,6.9,2461,2,4,5.7,3.5,60.6,25.6,4.2,0.2,2.08,0.0,60.0,100.0,58.89
35,0,1.5,27.5,61.8,8.7,3.8,5.9,4.7,5.2,2550,2,5,9.6,0.3,118.4,43.1,5.8,0.2,2.19,0.0,60.0,91.99,72.22
60,1,1.72,27.3,80.9,8.3,4.0,5.2,4.0,4.4,6447,2,41,8.4,1.2,136.6,38.0,1.2,1.5,2.49,0.0,60.0,100.0,10.0
23,0,1.62,26.6,69.7,6.6,3.8,5.8,7.4,8.1,5724,2,34,5.8,3.4,80.7,26.0,2.6,1.3,1.86,1.0,60.0,74.66,97.78
54,0,1.62,22.7,59.5,8.1,3.8,5.8,2.8,3.1,5376,2,31,5.5,3.6,65.0,24.6,5.7,1.2,2.06,2.7,60.0,53.95,80.0
19,1,1.72,21.3,63.1,7.5,3.8,5.8,5.8,6.4,3265,2,11,6.0,3.2,76.1,27.1,4.6,0.4,2.9,10.0,60.0,76.87,63.33
41,0,1.62,31.4,82.4,8.2,3.8,6.0,6.4,7.0,6483,2,41,7.2,2.2,118.7,32.4,1.3,1.6,2.77,2.1,60.0,53.54,67.78
57,1,1.7,30.4,88.0,7.6,3.8,6.0,2.5,2.8,5745,2,34,10.0,0.0,176.0,45.0,4.2,1.3,3.08,4.0,60.0,90.29,54.44
44,0,1.66,27.0,74.3,6.3,2.9,6.3,7.1,7.8,2858,2,7,8.9,0.9,131.8,39.9,2.8,0.3,3.36,6.9,60.0,98.42,82.22
42,1,1.66,27.1,74.6,8.3,3.7,6.3,5.4,5.9,2510,2,4,7.6,1.9,113.3,34.2,2.2,0.2,2.76,10.0,60.0,16.86,54.44
40,1,1.63,31.0,82.5,8.2,3.8,5.9,2.1,2.3,2880,2,8,4.2,4.6,69.8,19.0,2.2,0.3,2.82,9.1,60.0,36.45,4.44
22,1,1.91,19.7,72.0,9.0,3.9,5.7,7.1,7.8,4745,2,25,5.6,3.5,80.9,25.3,7.1,1.0,2.44,2.7,60.0,100.0,70.0
49,1,1.65,25.4,69.3,7.2,3.2,5.2,6.2,6.8,6390,2,40,10.0,0.0,138.6,45.0,7.2,1.5,3.27,3.8,60.0,100.0,15.56
35,0,1.63,25.6,68.0,8.5,3.8,5.8,4.8,5.3,5901,2,36,6.0,3.2,81.9,27.1,7.8,1.4,2.99,6.3,60.0,87.88,42.22
50,1,1.6,18.0,46.1,8.0,3.7,6.6,5.7,6.3,3883,2,17,5.7,3.4,52.6,25.7,7.3,0.7,3.55,3.0,60.0,46.29,30.0
40,0,1.63,29.1,77.4,7.6,3.9,5.3,2.6,2.9,4998,2,27,9.7,0.2,150.5,43.8,3.6,1.0,1.04,5.4,60.0,58.15,42.22
28,1,1.63,22.7,60.4,7.7,4.0,5.0,2.6,2.9,4777,2,25,5.8,3.3,70.3,26.2,7.9,1.0,2.44,3.9,60.0,66.04,56.67
60,1,1.67,26.9,75.1,7.6,3.9,5.4,6.2,6.8,5306,2,30,7.7,1.9,115.3,34.5,7.0,1.1,3.14,10.0,60.0,52.48,28.89
27,1,1.77,21.7,67.9,6.7,3.8,6.2,5.5,6.1,2974,2,8,3.9,4.9,52.9,17.5,5.3,0.3,1.89,2.2,60.0,64.47,78.89
